record_type,epic_id,epic_title,epic_description,epic_status,epic_priority,epic_owner,epic_team,epic_start_date,epic_target_date,estimation_id,dev_hours,qa_hours,total_story_points,complexity,risk_level,tdd_id,tdd_title,tdd_version,tdd_status,tdd_author,tdd_last_updated,tdd_technologies,tdd_dependencies,tdd_section,story_id,story_title,story_type,story_status,story_points,story_assignee,story_sprint,acceptance_criteria,gitlab_repo,gitlab_branch,gitlab_file_path,gitlab_commit_sha,gitlab_merge_request,code_block_description,lines_of_code,code_language,last_commit_date,code_reviewer
EPIC,EPIC-001,User Authentication Service,Implement secure user authentication with JWT tokens and OAuth2 support,In Progress,Critical,john.smith@company.com,Platform,2025-01-15,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTIMATION,EPIC-001,User Authentication Service,,,,,,,,EST-001,240,80,89,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,
TDD,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,User Authentication Service Technical Design,2.0,Approved,jane.doe@company.com,2025-01-10,"Node.js,PostgreSQL,Redis,JWT","email-service,user-profile-service",Overview,,,,,,,,,,,,,,,
TDD,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,User Authentication Service Technical Design,2.0,Approved,jane.doe@company.com,2025-01-10,"Node.js,PostgreSQL,Redis,JWT","email-service,user-profile-service",System Architecture,,,,,,,,,,,,,,,
TDD,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,User Authentication Service Technical Design,2.0,Approved,jane.doe@company.com,2025-01-10,"Node.js,PostgreSQL,Redis,JWT","email-service,user-profile-service",Data Model,,,,,,,,,,,,,,,
TDD,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,User Authentication Service Technical Design,2.0,Approved,jane.doe@company.com,2025-01-10,"Node.js,PostgreSQL,Redis,JWT","email-service,user-profile-service",API Endpoints,,,,,,,,,,,,,,,
TDD,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,User Authentication Service Technical Design,2.0,Approved,jane.doe@company.com,2025-01-10,"Node.js,PostgreSQL,Redis,JWT","email-service,user-profile-service",Security Considerations,,,,,,,,,,,,,,,
STORY,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,,,,,,,"API Endpoints",AUTH-101,Implement user registration endpoint,Feature,Done,8,mike.wilson@company.com,Sprint-23,User can register with email and password;Password must meet complexity requirements;Confirmation email sent,platform/auth-service,feature/AUTH-101-registration,src/controllers/authController.js,a1b2c3d4e5f6,MR-1001,Registration endpoint with validation and email trigger,245,JavaScript,2025-02-01,sarah.jones@company.com
STORY,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,,,,,,,"API Endpoints",AUTH-102,Implement login endpoint with JWT,Feature,Done,8,mike.wilson@company.com,Sprint-23,User can login with valid credentials;JWT token returned on success;Failed attempts logged,platform/auth-service,feature/AUTH-102-login,src/controllers/authController.js,b2c3d4e5f6g7,MR-1002,Login endpoint with JWT generation,189,JavaScript,2025-02-03,sarah.jones@company.com
STORY,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,,,,,,,"Data Model",AUTH-103,Create users database schema,Task,Done,5,lisa.chen@company.com,Sprint-22,Users table created with all required fields;Indexes optimized for common queries;Migration scripts ready,platform/auth-service,feature/AUTH-103-schema,db/migrations/001_create_users.sql,c3d4e5f6g7h8,MR-1003,Users table with indexes and constraints,87,SQL,2025-01-25,tom.baker@company.com
STORY,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,,,,,,,"Security Considerations",AUTH-104,Implement password hashing with bcrypt,Task,Done,5,mike.wilson@company.com,Sprint-22,Passwords hashed with bcrypt cost factor 12;No plaintext passwords stored;Hash verification working,platform/auth-service,feature/AUTH-104-hashing,src/utils/passwordUtils.js,d4e5f6g7h8i9,MR-1004,Bcrypt hashing utility functions,56,JavaScript,2025-01-26,sarah.jones@company.com
STORY,EPIC-001,User Authentication Service,,,,,,,,,,,,,TDD-001,,,,,,,"API Endpoints",AUTH-105,Implement password reset flow,Feature,In Progress,13,anna.garcia@company.com,Sprint-24,User can request password reset;Secure token sent via email;Token expires after 1 hour,platform/auth-service,feature/AUTH-105-reset,src/controllers/passwordController.js,e5f6g7h8i9j0,MR-1005,Password reset with secure token generation,312,JavaScript,2025-02-10,mike.wilson@company.com
